"1/21/1781","Bth","Court","Irene","Trauerspiel","Ayrenhoff","NA"
"1/21/1781","Bth","Court","Die Freundschaft auf der Probe","Singspiel","Marmontel","Grétry"
"1/21/1781","Kth","Kinder","Der Sturm","Schauspiel","Shakespeare","NA"
"","","","",,"Schink",
"1/21/1781","Kth","Kinder","Matrosen Ballet","Ballet","Decamp","unknown"
"1/22/1781","Bth","Court","Die Feldmühle","Lustspiel","Richter","NA"
"1/22/1781","Bth","Court","Die Freundschaft auf der Probe","Singspiel","Marmontel","Grétry"
"1/22/1781","Kth","French","La Belle Arsène","Comédie mêlée d'ariettes","Favart","Monsigny"
"1/23/1781","Bth","Court","Irene","Trauerspiel","Ayrenhoff","NA"
"1/23/1781","Bth","Court","Die Rechnung ohne den Wirth","Lustspiel","Schletter","NA"
"1/23/1781","Kth","Kinder","Die Näscherinn","Singspiel","Weiße","Kriner"
"1/23/1781","Kth","Kinder","Die Geschwisterliebe","Schauspiel","Weiße","NA"
"1/23/1781","Kth","Kinder","Matrosen Ballet","Ballet","Decamp","unknown"
"1/24/1781","Bth","Court","Juliane von Lindorak","Lustspiel","Gozzi","NA"
"","","","",,"Schröder",
"1/24/1781","Bth","Court","Der Bettelstudent","Lustspiel","Weidmann","NA"
"1/24/1781","Kth","French","L'Amant jaloux, ou les Fausses Apparences","Comédie mêlée d'ariettes","Hales","Grétry"
"1/24/1781","Kth","French","No title","Ballet","unknown","unknown"
"1/25/1781","Bth","Court","Der Barbier von Sevilien","Lustspiel","Beaumarchais","NA"
"1/25/1781","Kth","Kinder","Der Sturm","Schauspiel","Shakespeare","NA"
"","","","",,"Schink",
"1/25/1781","Kth","Kinder","Matrosen Ballet","Ballet","Decamp","unknown"
"1/26/1781","Bth","Court","Die donnernde Legion","Oratorio","Weidmann","Bartha"
"1/26/1781","Kth","Kinder","Die kleine Aehrenleserin","Lustspiel","Weiße","NA"
"1/26/1781","Kth","Kinder","Die Kroaten","Ballet","Mirek","unknown"
"1/27/1781","Bth","Court","Irene","Trauerspiel","Ayrenhoff","NA"
"1/27/1781","Bth","Court","Die Freundschaft auf der Probe","Singspiel","Marmontel","Grétry"
"1/27/1781","Kth","Kinder","Die Näscherinn","Singspiel","Weiße","Kriner"
"1/27/1781","Bth","Court","Betrug für Betrug","Lustspiel","Schletter","NA"
"1/28/1781","Kth","French","Aline, reine de Golconde","Opéra-ballet","Sedaine","Monsigny"
"1/29/1781","Bth","Court","Der Bettler","Lustspiel","Goldoni","NA"
"","","","",,"Bock",
"1/29/1781","Bth","Court","Die Freundschaft auf der Probe","Singspiel","Marmontel","Grétry"
"1/29/1781","Kth","Kinder","Edelmuth in Niedrigkeit","Lustspiel","Weiße","NA"
"1/29/1781","Kth","Kinder","Die Strafe im Sturz","Ballet","Sacco","unknown"
"1/30/1781","Bth","Court","Das Landmädchen","Lustspiel","Wycherley","NA"
"","","","",,"Schmid",
